Compound,Chemical Formula,Compounds - proteins that bind compound,Compounds - enzymes activated or inhibited,Pathways of compound,Reactions that consume compound,Reactions that produce compound,SMILES,MW
CPD0-1691,C6H14N3O3,NA,N-ACETYLTRANSFER-CPLX,NA,NA,NA,C(OC(=[N+])N)CCC([N+])C(=O)[O-],177.1113414
N-FORMYLMETHIONINE,C6H10NO3S,NA,NA,NA,NA,NA,CSCCC(N[CH]=O)C(=O)[O-],177.0459639
CPD0-2041,H2NO6P2,NA,NA,NA,NA,NA,N(P(=O)([O-])O)P(=O)([O-])[O-],176.9592099
N-BROMOSUCCINIMIDE,C4H4NO2Br,NA,ACNEULY-CPLX // FORMHYDROG2-CPLX // CPLX0-8167 // ACNEULY-CPLX // 7-ALPHA-HYDROXYSTEROID-DEH-CPLX,NA,NA,NA,C1(C(N(C(C1)=O)Br)=O),176.942541
ARG,C6H15N4O2,CPLX0-7669 // PC00005,AGMATIN-CPLX // N-ACETYLTRANSFER-CPLX,ARGSYN-PWY // TRNA-CHARGING-PWY // AST-PWY // PWY0-1299 // PWY-40 // POLYAMSYN-PWY // ARG+POLYAMINE-SYN // PWY0-823 // ARGDEG-PWY // ORNARGDEG-PWY,ARGININE--TRNA-LIGASE-RXN // RXN0-272 // RXN0-5345 // RXN0-6989 // RXN66-448 // ABC-4-RXN // RXN0-2162 // ARGININE-N-SUCCINYLTRANSFERASE-RXN // ARGDECARBOX-RXN,RXN0-3261 // RXN66-448 // ABC-4-RXN // RXN0-2162 // ARGSUCCINLYA-RXN,C(NC(N)=[N+])CCC([N+])C(=O)[O-],176.1273258
L-CITRULLINE,C6H13N3O3,NA,N-ACETYLTRANSFER-CPLX,ARGSYN-PWY // ARG+POLYAMINE-SYN,ARGSUCCINSYN-RXN,ORNCARBAMTRANSFER-RXN,C(NC(N)=O)CCC([N+])C(=O)[O-],176.1035163
CPD-9793,C7H12NO4,NA,DIAMINOPIMDECARB-CPLX,NA,NA,NA,C([O-])(=O)CCCCC([N+])C([O-])=O,176.0922829
CPD0-2267,C7H12NO4,NA,NA,NA,NA,NA,CCC([N+])(C(=O)[O-])CCC(=O)[O-],176.0922829
8-THIO-OCTANOATE,C8H15O2S,NA,EG11796-MONOMER,NA,NA,NA,C(CCCS)CCCC(=O)[O-],176.0871004
6-THIO-OCTANOATE,C8H15O2S,NA,NA,NA,NA,NA,CCC(S)CCCCC(=O)[O-],176.0871004
CPD0-1061,C11H12O2,NA,NA,NA,NA,NA,CC1(C=C(C(C(C=O)=O)=C(C=1)C)C),176.0837296
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE,C7H10O5,NA,NA,LEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY,RXN-13158 // RXN-13163 // RXN-8991 // 3-ISOPROPYLMALDEHYDROG-RXN,NA,CC(C)C(C([O-])=O)C(C([O-])=O)O,176.0684735
PHENYLHYDANTOIN,C9H8N2O2,NA,NA,NA,RXN0-275,NA,C1(C=CC(=CC=1)C2(NC(=O)NC2=O)),176.0585775
ALLANTOATE,C4H7N4O4,NA,NA,PWY-5698 // PWY0-41 // PWY-5705,ALLANTOATE-DEIMINASE-RXN,ALLANTOINASE-RXN,C(C(=O)[O-])(NC(=O)N)NC(=O)N,176.0545548
CARBAMYUL-L-ASPARTATE,C5H6N2O5,NA,NA,PWY-5686 // PWY0-162 // PRPP-PWY // PWY-7211,NA,DIHYDROOROT-RXN // ASPCARBTRANS-RXN,C(=O)([O-])CC(NC(N)=O)C([O-])=O,176.0433214
CPD-13122,C6H7O6,NA,NA,NA,RXN-16475,NA,C(C1(OC(C(C(C=1)O)O)O))([O-])=O,176.032088
CPD-3571,C6H5O6,NA,NA,NA,NA,NA,C(C(=O)[O-])C(C(=O)[O-])CC(=O)[O-],176.032088
CPD-37,C6H7O6,NA,NA,NA,5.3.1.17-RXN,RXN-16475,[CH](=O)C(O)C(O)CC(=O)C(=O)[O-],176.032088
ASCORBATE,C6H7O6,NA,CPLX0-227,PWY-6961,RXN-12876 // RXN0-2461 // RXN-10981 // RXN-3521 // RXN-12440,RXN-3523 // RXN-12440,C(O)C(O)[CH]1(C([O-])=C(O)C(=O)O1),176.032088
CPD-343,C6H7O6,NA,NA,NA,NA,5.3.1.17-RXN // 1.1.1.127-RXN,C(C(C(CC(C([O-])=O)=O)O)=O)O,176.032088
CPD-3731,CH4O6P2,NA,NA,NA,NA,NA,C(P(=O)([O-])O)P(=O)([O-])O,175.9639609
CPD0-1690,C7H16N3O2,NA,N-ACETYLTRANSFER-CPLX,NA,NA,NA,C(N)(=[N+])CCCCC([N+])C(=O)[O-],175.1320768
N-ALPHA-ACETYLORNITHINE,C7H14N2O3,NA,NA,GLUTORN-PWY // ARGSYN-PWY // ARG+POLYAMINE-SYN,ACETYLORNTRANSAM-RXN // ACETYLORNDEACET-RXN,NA,CC(=O)NC(CCC[N+])C(=O)[O-],175.1082674
CPD-9384,C7H14N2O3,NA,NA,NA,NA,NA,CCNC(=O)CCC([N+])C(=O)[O-],175.1082674
L-AZASERINE,C5H8N3O4,NA,CARBPSYN-CPLX,NA,NA,NA,C(C(OCC(C(=O)[O-])[N+])=O)=[N+]=N,175.0593058
7-CYANO-7-DEAZAGUANINE,C7H5N5O,NA,NA,PWY-6700 // PWY-6703,NA,RXN-12093 // RXN0-4022,C12(=C(C(NC(=N1)N)=O)C(=CN2)C#N),175.0494098
CPD-20033,C7H5N5O,NA,NA,NA,NA,NA,C1(=CN2(C(=N1)NC3(NC=NC(C(=O)2)=3))),175.0494098
CPD-318,C6H7O6,NA,NA,PWY-6961,RXN-3523,RXN-10981 // RXN-3521,C(O)C(O)[CH]1(C(O)=C(O)C(=O)O1),175.024263
CPD0-1675,C9H20NO2,NA,BADH-CPLX,NA,NA,NA,CCCC(=O)OCC[N+](C)(C)C,174.1494039
CPD0-2182,C7H14N2O3,NA,NA,NA,NA,NA,C(ONCC(=O)O)C1(CCCN1),174.1004423
CPD0-1264,C8H12O4,NA,GLUTDECARBOXB-CPLX // GLUTDECARBOXA-CPLX,NA,NA,NA,C(=O)([O-])CCCCCCC(=O)[O-],174.0892089
MENADIOL,C11H10O2,NA,NA,NA,NA,NADH-DEHYDROGENASE-QUINONE-RXN,CC1(=CC(O)=C2(C=CC=CC(=C(O)1)2)),174.0680796
CPD-291,C7H8O5,NA,DIHYDRODIPICSYN-CPLX,NA,NA,NA,C(=O)([O-])CCCCC(=O)C([O-])=O,174.0528234
SHIKIMATE,C7H9O5,NA,NA,PWY-6163 // ARO-PWY // COMPLETE-ARO-PWY // ALL-CHORISMATE-PWY,RXN-7968 // SHIKIMATE-5-DEHYDROGENASE-RXN // TRANS-RXN-27 // SHIKIMATE-KINASE-RXN,TRANS-RXN-27,C1(=C(CC(C(O)C(O)1)O)C(=O)[O-]),174.0528234
CPD-7100,C7H8O5,NA,NA,LEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY,RXN-7800,3-ISOPROPYLMALDEHYDROG-RXN,CC(C(C(=O)[O-])C(=O)C(=O)[O-])C,174.0528234
HYDROXYNAPHTHOQUINONE,C10H6O3,NA,EG12352-MONOMER,NA,NA,NA,C2(C=C(C1(C(=O)C=CC(C=1C=2)=O))O),174.0316941
CPD-9608,C10H5O3,NA,NA,NA,NA,NA,C1(=CC=C2(C(C([O-])=CC(C(=C1)2)=O)=O)),174.0316941
CIS-ACONITATE,C6H3O6,NA,ISOCIT-LYASE // CHORISMUTPREPHENDEHYDRAT-CPLX,FERMENTATION-PWY // TCA // GLYOXYLATE-BYPASS // TCA-GLYOX-BYPASS // GLYCOLYSIS-TCA-GLYOX-BYPASS,ACONITATEHYDR-RXN,ACONITATE-DELTA-ISOMERASE-RXN // ACONITATEDEHYDR-RXN,C([O-])(=O)C(=CC(=O)[O-])CC(=O)[O-],174.0164379
CPD-225,C6H3O6,NA,CHORISMUTPREPHENDEHYDRAT-CPLX,NA,ACONITATE-DELTA-ISOMERASE-RXN // RXN0-2441 // RXN0-2441,NA,C([O-])(=O)C=C(C([O-])=O)CC([O-])=O,174.0164379
L-DEHYDRO-ASCORBATE,C6H6O6,NA,NA,PWY-6961,RXN-12869 // RXN-12862,RXN-12876 // RXN-3523 // RXN-12440,C(O)C(O)C1(C(=O)C(=O)C(=O)O1),174.0164379
CPD-5541,C7H7O2FS,NA,EG10760-MONOMER // CPLX0-7927 // 1-PFK,NA,NA,NA,C(C1(C=CC=CC=1))S(=O)(F)=O,174.0150784
CPD-10814,C7H12N2O3,NA,NA,NA,RXN0-6988,NA,C1(N(C(=O)C[N+])C(CC1)C(=O)[O-]),173.0926173
CPD0-1627,C6H10N3O3,NA,PRPPAMIDOTRANS-CPLX // L-GLN-FRUCT-6-P-AMINOTRANS-CPLX // GMP-SYN-CPLX // GMP-SYN-CPLX // PABASYN-CPLX // CARBPSYN-CPLX,NA,NA,NA,C(=[N+]=N)C(=O)CCC(C([O-])=O)[N+],173.0800412
CPD-469,C7H10NO4,NA,NA,GLUTORN-PWY // ARGSYN-PWY // ARG+POLYAMINE-SYN,N-ACETYLGLUTPREDUCT-RXN,ACETYLORNTRANSAM-RXN,CC(=O)NC(C([O-])=O)CC[CH]=O,173.0688078
CPD-10427,C6H6NO3S,NA,NA,NA,NA,NA,C1(=C(N)C=CC(S(=O)(=O)[O-])=C1),173.0146638
CPD-3617,C10H19O2,NA,NA,NA,NA,NA,CCCCCCCCCC(=O)[O-],172.1463299
CPD-3766,C11H8O2,NA,NA,NA,NADH-DEHYDROGENASE-QUINONE-RXN,NA,CC2(=CC(C1(C=CC=CC=1C2=O))=O),172.0524295
CPD0-1558,C7H9NO2S,NA,AROG-CPLX,NA,NA,NA,C1(SC(CC(C(=O)[O-])[N+])=CC=1),172.0432243
GLYCEROL-3P,C3H7O6P,PD03576,GLYC3PDEHYDROGBIOSYN-CPLX // GLYCEROL-KIN-CPLX // PHOSPHAGLYPSYN-MONOMER,PWY0-1591 // PWY0-1582 // PWY0-1581 // PWY0-1584 // PWY0-1561 // PWY-6952 // PWY-4261 // PWY0-381 // PWY-5667 // PWY0-1319 // PWY-5668 // PWY0-1545 // PHOSLIPSYN-PWY,RXN-1381 // R140-RXN // RXN-17018 // RXN-17017 // RXN-17016 // RXN-15740 // RXN0-5260 // RXN0-5410 // ABC-34-RXN // RXN-10462 // TRANS-RXN-22 // GLYC3PDEHYDROGBIOSYN-RXN // PHOSPHAGLYPSYN-RXN,RXN-18241 // RXN-14073 // RXN-14136 // RXN-14160 // ABC-34-RXN // GLYCPDIESTER-RXN // TRANS-RXN-22 // RXN0-5257 // GLYCEROL-KIN-RXN,C(OP([O-])(=O)[O-])C(O)CO,172.0136745
SN-GLYCEROL-1-PHOSPHATE,C3H7O6P,NA,NA,PWY-7884,NA,RXN0-20,C(OP([O-])(=O)[O-])C(O)CO,172.0136745
CPD-536,C3H7O6P,NA,NA,NA,GLYCEROL-2-PHOSPHATASE-RXN,NA,C(C(CO)OP([O-])([O-])=O)O,172.0136745
ANTIMONITE,O3Sb,EG12235-MONOMER,NA,NA,RXN0-5459,NA,[O-][Sb]([O-])[O-],171.912037
CPD0-2039,H3O3Sb,NA,NA,NA,RXN0-7191 // RXN0-7190,RXN0-7191 // RXN0-7190,O[Sb](O)O,171.912037
CPD0-918,C6H11N4O2,NA,NA,NA,NA,NA,C1(N=C(CC(C(=O)NO)[N+])C=N1),171.0882006
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE,C7H7NO4,NA,NA,DAPLYSINESYN-PWY // P4-PWY // PWY0-781,RXN-14014 // RXN-4821 // TETHYDPICSUCC-RXN,NA,C1(CC(=NC(C1)C([O-])=O)C([O-])=O),171.0531578
CPD0-1102,C2H4NO6P,NA,METHGLYSYN-CPLX // CPLX0-7633 // CPLX0-7633,NA,NA,NA,C(C(NO)=O)OP([O-])(=O)[O-],170.9932734
CPD0-2099,C4H10O5P,NA,GLYCEROL-3-P-ACYLTRANSFER-MONOMER,NA,NA,NA,C(P(O)(=O)[O-])CC(O)CO,170.03441
1-AMINO-PROPAN-2-ONE-3-PHOSPHATE,C3H7NO5P,NA,NA,PYRIDOXSYN-PWY // PWY0-845,PDXJ-RXN,RXN-13179 // RXN-8447,C(C(=O)C[N+])OP(=O)([O-])[O-],170.0218339
CPD0-1615,C3H7NO5P,NA,ASPARTASE-CPLX,NA,NA,NA,C([O-])(=O)C([N+])CP([O-])(O)=O,170.0218339
CPD0-2059,C7H6O5,NA,NA,NA,NA,NA,C(=O)(O)C1(C=CC(O)=C(O)C(O)=1),170.0215233
CPD-183,C7H5O5,NA,GLUTDECARBOXB-CPLX // GLUTDECARBOXA-CPLX,NA,NA,NA,C([O-])(=O)C1(C=C(C(=C(C=1)O)O)O),170.0215233
L-CYSTEATE,C3H6NO5S,NA,NA,NA,NA,NA,C(C([N+])C(=O)[O-])S(=O)(=O)[O-],170.0123181
GAP,C3H5O6P,NA,AERGLYC3PDEHYDROG-CPLX // KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,PWY-7180 // PWY0-1298 // PWY0-1297 // GALACTITOLCAT-PWY // ENTNER-DOUDOROFF-PWY // GALACTUROCAT-PWY // PWY-7242 // GLUCUROCAT-PWY // GALACT-GLUCUROCAT-PWY // GALACTCAT-PWY // TRPSYN-PWY // COMPLETE-ARO-PWY // ALL-CHORISMATE-PWY // PYRIDOXSYN-PWY // PWY0-845 // NONMEVIPP-PWY // PWY-6892 // THISYN-PWY // NONOXIPENT-PWY // PENTOSE-P-PWY // GLYCOLYSIS // GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // PWY-5484 // HEXITOLDEGSUPER-PWY // GLUCONEO-PWY,RXN0-7250 // DXS-RXN // 1TRANSKETO-RXN // TRIOSEPISOMERIZATION-RXN // TRANSALDOL-RXN // GAPOXNPHOSPHN-RXN,RXN0-2381 // RXN0-313 // TRYPSYN-RXN // DEHYDDEOXPHOSGALACT-ALDOL-RXN // F16ALDOLASE-RXN // KDPGALDOL-RXN // TAGAALDOL-RXN // DEOXYRIBOSE-P-ALD-RXN // 2TRANSKETO-RXN,[CH](=O)C(O)COP(=O)([O-])[O-],169.9980245
L-GLYCERALDEHYDE-3-PHOSPHATE,C3H5O6P,NA,PHOSPHAGLYPSYN-MONOMER // GLYCEROL-3-P-ACYLTRANSFER-MONOMER,NA,RXN0-7251 // TRANS-RXN0-535 // TRANS-RXN0-534,TRANS-RXN0-535 // TRANS-RXN0-534 // RXN0-5410,C(OP(=O)([O-])[O-])C(O)[CH]=O,169.9980245
DIHYDROXY-ACETONE-PHOSPHATE,C3H5O6P,NA,GLYCEROL-3-P-ACYLTRANSFER-MONOMER // AERGLYC3PDEHYDROG-CPLX // METHGLYSYN-CPLX,FUCCAT-PWY // RHAMCAT-PWY // FUC-RHAMCAT-PWY // DARABCATK12-PWY // GALACTITOLCAT-PWY // GLYCOLYSIS // GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // PWY-5484 // HEXITOLDEGSUPER-PWY // GLUCONEO-PWY // GLYCEROLMETAB-PWY // PWY-5667 // PWY0-1319 // PHOSLIPSYN-PWY // PWY-7446 // PWY0-1569 // PWY0-1517 // PWY0-1591 // PWY0-1582 // PWY0-1581 // PWY0-1584 // PWY0-1561 // PWY-6952 // PWY-4261 // PWY0-381 // PYRIDNUCSYN-PWY // PWY0-781,RXN0-7249 // RXN-15943 // SEDOBISALDOL-RXN // RXN0-5257 // METHGLYSYN-RXN // QUINOLINATE-SYNTHA-RXN,RXN-15298 // RXN0-7169 // RXN-15740 // RXN0-5260 // GLYC3PDEHYDROGBIOSYN-RXN // 2.7.1.121-RXN // TRIOSEPISOMERIZATION-RXN // TAGAALDOL-RXN // DARABALDOL-RXN // RHAMNULPALDOL-RXN // FUCPALDOL-RXN // F16ALDOLASE-RXN,C(C(=O)CO)OP([O-])([O-])=O,169.9980245
L-SELENOCYSTEINE,C3H7NO2Se,NA,NA,NA,SELENOCYSTEINE-LYASE-RXN // TRANS-RXN0-480,TRANS-RXN0-480,C([Se])C([N+])C([O-])=O,169.9720253
PYRIDOXAMINE,C8H13N2O2,NA,NA,PLPSAL-PWY // PWY0-845,TRANS-RXN0-213 // PYROXALTRANSAM-RXN // PYRAMKIN-RXN,TRANS-RXN0-213,CC1(=NC=C(CO)C(C[N+])=C(O)1),169.0977027
CPD0-1308,C3H6NO5P,NA,AROA-MONOMER,NA,NA,NA,C(NCC(=O)[O-])P(O)([O-])=O,169.0140089
CPD0-1659,C8H16N4,NA,ARGDECARBOXBIO-CPLX,NA,NA,NA,C=C=CC(CCCNC(=N)N)N,168.1374965
CPD-10208,C9H12O3,NA,NA,NA,NA,RXN-9562,CCCC=C1(C(=O)C(O)=C(C)O1),168.0786443
VANILLATE,C8H7O4,NA,CHORPYRLY-MONOMER,NA,NA,NA,COC1(=CC(=CC=C(O)1)C(=O)[O-]),168.0422587
CPD-782,C8H7O4,NA,NA,NA,NA,RXN0-5065,C([O-])(=O)CC1(C=CC(=C(C=1)O)O),168.0422587
URATE,C5H4N4O3,NA,NA,SALVADEHYPOX-PWY // PWY-6608,TRANS-RXN0-530,TRANS-RXN0-530 // RXN0-901,C12(NC(=O)NC=1C(=O)NC(=O)N2),168.02834
CPD-15332,C5H4N4O3,NA,NA,NA,NA,NA,C12(N=C(O)NC=1C(O)=NC(O)=N2),168.02834
CPD0-1540,C3H8N2O4S,NA,NA,NA,NA,NA,C(S(=O)(=O)N)C(N)C(O)=O,168.0204774
CPD0-2028,C8H5O2Cl,NA,NA,NA,NA,NA,[CH](=O)C(=O)C1(=CC=C(Cl)C=C1),167.9978071
PHOSPHO-ENOL-PYRUVATE,C3H2O6P,NA,ISOCIT-LYASE // AROA-MONOMER // AERGLYC3PDEHYDROG-CPLX // PHOSACETYLTRANS-CPLX // PHOSACETYLTRANS-CPLX // CPLX0-7877 // GLUCOKIN-MONOMER // ISOCITHASE-CPLX // THIE-MONOMER // F16B-CPLX // F16B-CPLX // PEPSYNTH-CPLX // CPLX0-230 // CPLX0-230 // 6PFK-1-CPX // PEPCARBOXYKIN-MONOMER // METHGLYSYN-CPLX // GLNE-MONOMER // CPLX0-303,GLUCONEO-PWY // GLYCOLYSIS // GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // PWY-5484 // HEXITOLDEGSUPER-PWY // FERMENTATION-PWY // PWY-1269 // LPSSYN-PWY // KDO-NAGLIPASYN-PWY // PWY-6164 // GLYCEROLMETAB-PWY // PWY0-1261 // PWY-6387 // PEPTIDOGLYCANSYN-PWY // PWY-6163 // ARO-PWY // COMPLETE-ARO-PWY // ALL-CHORISMATE-PWY,RXN0-7166 // 2.7.3.9-RXN // RXN-17354 // RXN0-6717 // RXN0-7047 // PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN // KDO-8PSYNTH-RXN // DAHPSYN-RXN // 2.7.1.121-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // 2.5.1.19-RXN,PEPDEPHOS-RXN // PEPCARBOX-RXN // 2PGADEHYDRAT-RXN // PEPCARBOXYKIN-RXN // PEPSYNTH-RXN,C=C(OP([O-])([O-])=O)C([O-])=O,167.9823744
CPD0-1557,C9H13NO2,NA,AROG-CPLX,NA,NA,NA,C(=O)(O)C(N)CC1(C=CCC=C1),167.0946287
CPD-12427,C5H5N5O2,NA,NA,NA,NA,RXN-18435,C12(NC(=O)NC=1C(=O)NC(N)=N2),167.0443244
CPD-19243,C4H8NO4P,NA,NA,NA,NA,RXN-17962,CC(=O)NCCP([O-])([O-])=O,167.0347443
CPD-19240,C4H8NO4P,NA,NA,NA,NA,RXN-17960,CC(=O)NC(P([O-])([O-])=O)C,167.0347443
CPD-19242,C4H8NO4P,NA,NA,NA,NA,RXN-17961,CC(=O)NC(P([O-])([O-])=O)C,167.0347443
CPD-5721,C5H4N5S,NA,G7504-MONOMER // EG11939-MONOMER // GPT-CPLX // GPT-CPLX,NA,NA,NA,C1(N=C2(N=C(N)N=C([S-])C(N=1)2)),167.0265659
CPD-4841,C7H3NO4,NA,DIHYDRODIPICSYN-CPLX // UDPACYLGLCNACDEACETYL-MONOMER,NA,NA,NA,C1(C=C(N=C(C=1)C(=O)[O-])C(=O)[O-]),167.0218577
QUINOLINATE,C7H3NO4,NA,NA,PYRIDNUCSYN-PWY // PWY0-781,NA,QUINOPRIBOTRANS-RXN // QUINOLINATE-SYNTHA-RXN,C1(=CC=C(C(C([O-])=O)=N1)C([O-])=O),167.0218577
CPD0-1240,C6H14N2O2F,NA,ORNDECARBOX-BIO-CPLX,NA,NA,NA,C(F)C(C(=O)[O-])([N+])CCC[N+],166.1117559
CPD-216,C9H11NO2,NA,NA,NA,NA,NA,C([O-])(=O)C([N+])CC1(C=CC=CC=1),166.0868036
PHE,C9H11NO2,PD00413,AROG-CPLX // CHORISMUTPREPHENDEHYDRAT-CPLX // CHORISMUTPREPHENDEHYDRAT-CPLX,PHESYN // COMPLETE-ARO-PWY // ALL-CHORISMATE-PWY // TRNA-CHARGING-PWY,PHENYLALANINE--TRNA-LIGASE-RXN // TRANS-RXN-312 // R185-RXN // TRANS-RXN-56,TRANS-RXN-312 // TRANS-RXN-56 // PHEAMINOTRANS-RXN,C([O-])(=O)C([N+])CC1(C=CC=CC=1),166.0868036
CPD0-1114,C6H14O5,NA,CPLX0-7652,NA,NA,NA,CC(C(C(C(CO)O)O)O)O,166.0841236
THIALYSINE,C5H13N2O2S,NA,NA,NA,NA,NA,C(SCC([N+])C(=O)[O-])C[N+],166.0775984
S-2-AMINOETHYL-L-CYSTEINE,C5H13N2O2S,NA,ASPKINIII-CPLX // DIHYDRODIPICSYN-CPLX,NA,NA,NA,C(CSCC(C([O-])=O)[N+])[N+],166.0775984
CPD0-2074,C6H13O3S,NA,NA,NA,NA,NA,CCCCCCS(=O)(=O)[O-],166.066365
3-HYDROXYPHENYL-PROPIONATE,C9H9O3,G6201-MONOMER,NA,HCAMHPDEG-PWY // PWY0-1277,RXN0-2841 // MHPHYDROXY-RXN // TRANS-RXN-61,TRANS-RXN-61,C(CCC1(C=C(O)C=CC=1))(=O)[O-],166.0629942
MELILOTATE,C9H9O3,NA,NA,NA,NA,NA,C(CCC1(C(=CC=CC=1)O))([O-])=O,166.0629942
CPD-15921,C5H6N6O,NA,NA,NA,NA,NA,C1(=NC2(C(NO)=NC(N)=NC(N1)=2)),166.0603088
CPD-8990,C5H11NO3S,NA,NA,NA,RXN0-7185,RXN0-7188 // RXN0-7185 // 1.8.4.14-RXN,CS(=O)CCC([N+])C(=O)[O-],166.0537889
CPD-8989,C5H11NO3S,NA,NA,NA,RXN0-7186,RXN0-7187 // RXN0-7186 // 1.8.4.13-RXN,CS(=O)CCC([N+])C(=O)[O-],166.0537889
D-XYLONATE,C5H9O6,NA,NA,NA,XYLONATE-DEHYDRATASE-RXN,NA,C(=O)([O-])C(O)C(O)C(O)CO,166.0477381
CPD0-1198,C5H9O6,NA,NA,NA,NA,NA,C([O-])(=O)C(O)C(O)C(O)CO,166.0477381
CPD-8902,C5H9O6,NA,NA,NA,NA,NA,C(C(C(C(CO)O)O)O)([O-])=O,166.0477381
CPD-1114,C5H9O6,NA,ALTRODEHYDRAT-MONOMER,NA,NA,NA,C(=O)([O-])C(O)C(O)C(O)CO,166.0477381
CPD0-1220,C5H10O4P,NA,CPLX0-7643,NA,NA,NA,CC(P(=O)(C)C)(O)C(=O)[O-],166.0394954
CPD-14332,C5H9O4P,NA,NA,NA,RXN-16937,NA,CC(C)=CCOP(=O)([O-])[O-],166.0394954
CPD0-1224,C5H8NO3Cl,NA,PRPPAMIDOTRANS-CPLX // ASPKINIHOMOSERDEHYDROGI-CPLX // CARBPSYN-CPLX // ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,NA,NA,NA,C(Cl)C(=O)CC([N+])C(=O)[O-],166.0270959
CPD0-1267,C8H4O4,NA,GLUTDECARBOXB-CPLX // GLUTDECARBOXA-CPLX,NA,NA,NA,C(=O)([O-])C1(C=CC=C(C(=O)[O-])C=1),166.0266087
TEREPHTHALATE,C8H4O4,NA,GLUTDECARBOXA-CPLX // GLUTDECARBOXB-CPLX,NA,NA,NA,C(C1(C=CC(=CC=1)C([O-])=O))([O-])=O,166.0266087
PHTHALATE,C8H4O4,NA,QUINOPRIBOTRANS-CPLX // GLUTDECARBOXB-CPLX // GLUTDECARBOXA-CPLX,NA,NA,NA,C(C1(C=CC=CC(C([O-])=O)=1))([O-])=O,166.0266087
3-BROMOPYRUVATE,C3H2O3Br,NA,DIHYDRODIPICSYN-CPLX // KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX // CPLX0-1021 // GMP-SYN-CPLX // AROA-MONOMER // PYRUVATEDEH-CPLX,NA,NA,NA,C(Br)C(=O)C(=O)[O-],165.9265566
CPD-397,C6H14NO2S,NA,NA,NA,TRANS-RXN0-486 // MMUM-RXN,TRANS-RXN0-486,C[S+](CCC([N+])C(=O)[O-])C,165.0823494
CPD0-1380,C9H10NO2,NA,SARCOX-MONOMER,NA,NA,NA,C(NCC(=O)[O-])C1(C=CC=CC=1),165.0789786
CPD-13319,C6H7N5O,NA,NA,NA,NA,NA,CN2(C(N)=NC(=O)C1(N=CNC=12)),165.0650599
CPD0-2377,C6H7N5O,NA,NA,NA,NA,NA,CN1(C=NC2(N=C(NC(=O)C1=2)N)),165.0650599
CPD0-1718,C6H7N5O,NA,NA,NA,NA,NA,C1(=NC2(=C(NC1)N=C(N)NC(=O)2)),165.0650599
CPD0-1932,C6H7N5O,NA,G7504-MONOMER // EG11939-MONOMER,NA,NA,NA,CN2(C(N)=NC1(N=CNC=1C(=O)2)),165.0650599
CPD0-1386,C4H8N2O3S,NA,S-ADENMETSYN-CPLX,NA,NA,NA,C(=O)([O-])C([N+])CC(=O)NS,165.0333879
CPD-17752,C7H4N2O3,NA,NA,NA,RXN0-7143,NA,C1(C2(=CC([N+]([O-])=O)=CC=C(ON=1)2)),165.030017
15-DIDEOXY-15-IMINO-D-GALACTITOL,C6H14NO4,NA,BETAGALACTOSID-CPLX // ALPHAGALACTOSID-CPLX,NA,NA,NA,C1([N+]C(CO)C(O)C(O)C(O)1),164.0922829
ETHIONINE,C6H13NO2S,NA,NA,NA,NA,NA,CCSCCC([N+])C(=O)[O-],164.0745244
CPD0-1568,C6H13NO2S,NA,NA,NA,NA,NA,CCCSCC(C([O-])=O)[N+],164.0745244
ALPHA-METHYLMETHIONINE,C6H13NO2S,NA,HOMSUCTRAN-CPLX,NA,NA,NA,CC(C(=O)[O-])([N+])CCSC,164.0745244
CPD-3613,C6H12O5,NA,NA,NA,NA,NA,COC1(C(C(C(CO1)O)O)O),164.0684735
CPD0-1112,C6H12O5,NA,NA,RHAMCAT-PWY // FUC-RHAMCAT-PWY,RHAMNISOM-RXN,RXN0-5306,CC1(OC(C(C(C1O)O)O)O),164.0684735
RHAMNOSE,C6H12O5,PC00086 // PD00222,NA,RHAMCAT-PWY // FUC-RHAMCAT-PWY,RXN0-285 // RXN0-286 // RXN0-5306,NA,CC1(C(C(C(C(O1)O)O)O)O),164.0684735
CPD0-1107,C6H12O5,NA,NA,FUCCAT-PWY // FUC-RHAMCAT-PWY,NA,RXN0-5298,CC1(OC(C(C(C1O)O)O)O),164.0684735
CPD-10329,C6H12O5,NA,NA,FUCCAT-PWY // FUC-RHAMCAT-PWY,FUCISOM-RXN // RXN0-5298,NA,CC1(OC(C(C(C1O)O)O)O),164.0684735
CPD-15619,C6H12O5,NA,NA,NA,RXN-14813,NA,CC(C(O)C(O)C([CH]=O)O)O,164.0684735
CPD0-2049,C6H12O5,NA,NA,NA,NA,NA,CC(O)C(O)C(O)C(=O)CO,164.0684735
